SquareFootage,NumBathrooms,NumBedrooms,RenovationQuality,DistanceToCityCenter,AgeOfHome,Price
550.0,2.512069753,3,3.8,19.36,11.13,112980.7449
550.0,2.623655516,3,5.95,18.58,31.68,234171.1958
1068.86,2.105990217,3,3.31,14.36,23.14,189396.4227
550.0,5.5,3,5.9,14.5,14.76,455778.0358
550.0,2.234656308,3,5.01,2.63,35.57,179792.2036
1124.58,2.424165332,3,6.55,12.42,95.29,279788.7275
655.08,1.751821196,3,2.29,23.39,76.75,267004.1506
550.0,1.096762423,3,5.82,32.26,93.9,102050.3585
2273.6,3.675151609,3,5.16,6.84,13.08,391558.7268
728.55,1.983124008,2,3.94,16.04,77.31,130890.354
550.0,1.0,1,0.39,39.3,106.36,190469.5938
1455.1,2.90820248,2,7.09,6.0,38.76,290976.1554
1383.97,1.0,4,8.55,8.43,39.92,488872.2089
583.35,1.0,2,5.79,29.88,28.93,112542.6906
1220.57,2.197197424,3,3.79,22.21,30.66,226404.3435
677.16,1.0,2,4.93,19.23,34.83,148899.3633
550.0,2.826773617,2,4.81,15.17,52.78,144233.9454
1289.99,1.994528184,3,8.44,11.6,19.13,353073.7393
1153.1,1.615257539,1,5.91,26.08,116.4,131801.5547
550.0,3.902923795,1,3.44,21.35,41.28,262495.0027
699.19,1.0,2,2.17,37.0,111.09,112603.21
896.66,1.542701464,2,4.17,17.39,66.69,223625.846
834.4,1.739441341,3,4.01,32.79,11.2,266620.3033
550.0,1.0,3,3.02,49.71,115.37,182779.7308
637.46,3.233333144,3,4.75,2.28,25.37,281735.2741
1293.6,1.71433012,2,4.16,1.87,127.04,220514.6841
550.0,1.554193107,3,4.24,41.85,33.25,154684.3011
1655.84,2.255132574,4,6.99,44.35,18.33,368884.3212
1526.53,2.063532157,6,7.83,2.5,71.51,660109.3536
1260.53,1.403670698,4,5.31,0.98,20.67,459714.8161
550.0,2.568205646,4,4.59,32.21,29.34,372012.1632
1423.13,3.48029946,4,5.93,4.72,10.45,585368.7054
550.0,1.701726784,4,6.66,15.23,44.48,223834.2497
550.0,1.939942627,4,3.26,5.28,59.83,237388.69
1312.22,1.0,3,4.07,1.14,1.64,415701.1553
768.34,2.231898071,3,6.79,24.53,58.24,269009.5188
550.0,1.748579274,4,5.24,8.27,71.2,340874.8921
1538.64,3.229407787,2,7.19,9.83,69.81,391493.9671
1005.66,1.524330687,3,4.4,19.42,15.83,330214.4503
1036.74,2.751349972,5,3.95,10.75,9.12,431806.1057
550.0,1.67259001,2,3.39,49.41,12.66,192882.8993
629.81,2.286444324,3,7.86,31.91,19.92,212457.828
561.54,3.811442591,2,6.09,33.07,125.84,163579.3966
816.02,2.060835151,1,3.74,25.91,1.52,114167.367
1527.26,1.0,3,4.24,43.17,157.41,188120.709
1027.78,3.28220465,4,7.73,25.42,13.77,260509.4674
1300.49,1.0,4,6.11,6.89,42.66,484666.6491
550.0,1.274580442,3,1.89,41.96,60.67,138761.6006
1275.35,2.831218179,4,6.42,15.18,47.5,408496.2329
1322.55,2.973524891,3,6.98,1.49,9.27,413801.6422
1002.74,1.49593774,3,6.4,16.97,19.67,331064.9391
721.96,4.11121923,2,4.79,3.96,67.08,291315.2277
1556.84,1.03074372,4,1.44,7.18,6.57,240373.1799
586.27,1.0,4,5.77,39.04,33.13,173453.0226
550.0,1.400311178,2,2.76,31.9,24.88,94117.79348
550.0,3.108462395,4,5.22,1.29,45.26,346701.7911
550.0,3.038980425,3,4.86,12.52,34.92,218624.3683
620.11,1.0,2,0.75,29.23,92.6,109516.2163
2186.44,2.98963516,2,8.59,5.55,46.46,411235.6714
550.0,1.945894495,5,2.92,14.44,64.0,347052.8596
701.27,1.318978184,3,8.49,29.39,112.47,132861.8451
942.18,1.0,3,4.15,3.86,36.56,155913.4548
925.5,1.744110584,2,3.44,17.66,25.04,184883.8949
550.0,3.701446535,3,4.2,2.18,102.42,284128.3875
1903.44,2.82886805,2,4.83,12.98,1.93,369834.2411
550.0,1.0,3,1.08,36.86,66.47,156294.8951
794.53,2.09065174,1,4.86,33.23,22.19,115916.9002
754.31,1.0,4,5.03,34.64,24.07,161533.5785
856.95,1.949941737,3,8.27,29.51,26.41,233957.5616
1273.14,1.330867053,3,2.29,22.07,12.27,269688.4728
1372.34,1.327377717,4,6.06,20.47,34.43,427661.1892
1946.47,2.650385947,2,7.14,19.2,16.2,372977.0263
891.59,1.936383662,2,6.12,11.99,8.43,322496.1499
550.0,1.475696457,2,3.67,29.67,71.38,180264.3626
1343.88,3.166101289,3,7.63,17.39,41.82,237289.5945
1382.16,1.877179032,3,5.77,22.35,0.2,232474.8527
1923.32,3.278186737,3,7.6,10.15,69.27,506890.4558
550.0,1.757506202,2,2.41,29.27,87.99,150637.9491
956.16,2.898503602,4,5.6,0.79,13.63,489893.8798
1573.03,1.166598168,2,3.89,9.64,45.87,220771.2414
1114.36,4.80931537,2,4.39,19.23,37.75,383062.9673
1328.21,2.555154494,3,6.04,28.67,53.8,407863.0369
736.99,1.41075339,3,3.99,15.46,37.11,164691.2713
981.54,2.894196277,2,4.96,13.38,62.37,352291.6793
816.3,1.666348928,3,6.44,15.15,32.95,372135.818
801.77,1.571140719,5,4.21,20.33,55.26,506388.8471
550.0,1.0,2,7.58,22.25,24.19,122909.3313
550.0,4.149932625,3,2.77,42.02,44.76,198672.4582
671.47,1.0,3,2.46,2.76,42.08,159097.7158
728.28,1.607294397,3,5.54,8.98,86.34,255148.639
1146.31,1.789572781,2,0.4,18.88,50.97,173014.2408
1502.69,2.3424295,3,3.68,42.44,5.63,209226.8989
659.38,4.124479716,3,6.31,37.24,8.77,268339.2621
805.96,2.191173501,3,6.17,30.4,3.85,423416.6083
966.94,5.108180638,3,5.44,2.06,58.14,379303.0371
768.6,1.192520251,2,4.51,10.69,12.44,173253.2882
550.0,1.325389182,3,2.04,16.83,53.61,114263.3668
700.38,1.0,2,6.71,12.74,116.62,151561.3852
550.0,2.948258477,2,5.27,23.82,49.19,313336.8343
696.73,2.107963103,2,3.68,22.51,16.08,147534.5009
830.87,1.0,3,6.66,26.37,50.18,226312.606
1722.1,2.827756813,1,6.38,27.78,5.96,481998.8766
639.35,3.465570402,4,4.55,32.34,55.47,429324.1729
603.88,3.245691611,3,5.74,5.71,58.78,189805.7933
833.44,1.648107467,3,6.57,6.16,47.19,341148.4504
1214.26,2.249981105,3,4.7,2.39,29.49,485823.7032
1535.57,2.431553444,2,5.64,18.84,30.99,255996.8651
550.0,1.620942638,2,4.02,7.75,29.17,158839.4141
550.0,1.0,3,2.2,19.96,35.79,119279.6245
1655.49,2.058318642,3,3.8,6.03,14.08,251984.0737
1621.94,2.555138548,2,7.46,3.46,56.36,257858.5181
961.63,3.505338982,2,3.21,9.7,5.27,204872.0204
901.6,1.452001866,3,6.1,15.34,19.82,220458.9936
550.0,1.94182078,2,2.33,17.68,16.56,152646.3897
1758.77,4.904512126,4,6.78,5.43,39.84,1004323.974
1343.09,1.690492516,4,4.41,3.29,9.5,284846.2384
695.79,3.19872624,2,4.29,7.97,47.77,165031.6016
639.73,3.408042138,1,1.95,3.75,0.88,131753.1986
550.0,2.206816636,3,2.28,25.98,21.65,220315.6302
1202.15,1.617696993,1,5.85,17.17,59.25,165950.2086
1871.4,2.626053311,2,4.18,0.39,44.64,323164.5796
1438.21,1.0,2,5.15,24.15,62.7,119083.0675
760.67,3.181657294,3,4.2,2.27,68.42,297161.0335
1487.78,1.275482758,3,6.47,11.6,7.82,313625.2758
854.37,1.267840205,3,3.4,7.47,34.93,302758.8424
1127.34,2.898360542,5,4.34,2.98,53.33,480959.1294
1231.79,5.464450369,3,6.53,3.15,4.62,669952.9768
1452.7,1.77248323,3,7.83,15.61,34.31,224003.9849
550.0,1.977486138,3,6.2,2.74,120.76,191733.7849
550.0,2.75098409,4,5.77,20.21,63.09,319296.6176
1674.82,4.308481023,6,9.63,32.63,40.42,933485.5561
981.57,5.5,4,8.14,11.74,0.75,689398.8244
1834.29,2.124128197,4,7.53,15.82,18.69,294640.9241
859.61,1.0,4,4.82,8.63,25.64,172043.805
1078.94,2.293105997,3,5.06,28.5,62.78,361507.1659
729.07,3.948901043,3,3.61,5.29,25.85,383041.2467
550.0,1.0,1,2.69,26.32,92.71,186141.0781
1375.35,3.095541037,3,4.72,15.39,87.94,373373.1474
550.0,2.696962723,3,6.42,11.39,131.09,240754.6703
1144.82,3.092493176,3,5.21,8.66,70.92,441797.6611
804.09,2.954551785,4,6.04,23.34,93.6,266670.5158
1006.87,3.9748867,3,5.15,12.25,143.75,479562.0248
1044.63,2.330250405,5,7.28,12.63,24.99,530438.3597
1379.65,2.115694965,5,5.99,14.52,35.89,423092.3785
1363.77,2.480287403,4,3.73,12.04,34.33,481586.8265
1210.53,1.0,3,6.52,32.55,73.47,288844.2969
1458.01,2.12322477,3,6.59,3.71,94.43,517017.3736
1285.87,2.684899855,4,3.9,23.0,4.55,539724.7337
1137.9,1.877373435,3,6.86,3.52,33.84,347272.8982
805.92,2.02320994,5,7.07,19.21,33.74,381701.4755
850.67,2.658915312,3,5.77,0.37,68.68,413218.8644
955.63,1.359056178,2,6.55,8.89,68.63,271531.6073
1316.69,1.938191011,4,4.83,17.24,78.5,259757.602
550.0,1.138436229,3,2.08,29.36,29.25,122880.1573
968.6,4.370450006,3,5.93,2.28,13.54,267888.0566
1030.2,1.48093448,2,2.55,18.71,39.24,209866.2322
1006.91,2.123836205,1,5.44,22.23,29.67,137956.9998
1458.8,2.278489691,3,5.05,7.15,3.86,385022.8356
1138.59,2.868346219,3,4.89,19.99,39.02,345892.9122
1125.46,3.102663032,4,8.07,15.42,35.6,380018.3714
553.43,1.370236727,3,3.88,60.21,73.15,111116.4823
550.0,1.96218746,1,2.74,2.11,19.87,124802.108
974.83,1.0,5,5.94,4.58,78.71,232290.5139
550.0,1.055519184,2,3.05,10.86,18.44,111897.733
1058.54,2.166310866,2,4.84,10.84,0.27,195395.1853
1312.07,1.952142226,3,5.99,38.46,5.67,333119.4581
1053.98,3.584881803,4,8.16,7.64,12.67,353258.6088
1434.23,2.343958386,2,5.21,17.43,61.85,228894.6688
550.0,1.238066639,1,2.65,37.43,37.71,253706.2029
1011.74,1.0,3,7.69,22.32,29.87,148852.0295
725.24,3.684947109,1,0.95,21.13,107.82,232159.3765
902.27,2.809532205,5,4.81,20.64,10.92,702265.437
550.0,3.921931003,2,6.68,5.03,52.41,225726.3565
969.93,2.910999291,3,4.48,12.24,6.45,468387.3522
979.69,1.0,2,4.47,17.08,31.97,152437.4363
904.42,1.063157929,3,5.5,20.21,59.97,207601.5597
1493.58,2.728714736,3,6.44,17.26,82.23,423017.0623
1216.41,3.649014198,5,8.01,31.52,19.19,584575.3763
550.0,2.766211811,2,4.22,10.6,51.39,125356.8514
1237.01,4.135385948,3,8.26,1.83,43.39,586725.5921
1041.16,1.11935841,2,5.29,20.81,82.52,142240.2358
644.33,1.767759052,3,3.54,8.5,61.88,153059.2789
676.49,3.222117992,4,9.02,13.62,38.02,530691.8255
840.12,2.289361187,3,4.3,25.36,8.19,267429.0804
746.94,2.297286038,3,6.4,27.34,32.91,336980.0256
1318.78,1.724062752,3,3.48,25.24,47.21,315110.2214
914.2,1.975561616,3,4.93,38.6,69.26,144004.2554
550.0,1.509378986,2,0.81,19.52,96.14,200754.4642
1680.2,1.02652526,4,7.52,15.27,4.19,574881.728
961.04,1.0,4,5.81,15.07,71.28,175103.9545
1280.65,2.549567208,4,10.0,8.5,66.55,599447.9391
1501.64,2.3343757,3,4.61,3.62,26.09,221468.3481
1375.84,2.623327731,2,5.11,3.15,47.96,370495.3218
1365.23,2.29829534,4,8.2,12.23,13.18,332210.8691
550.0,1.591872956,3,3.31,14.52,82.59,112294.6508
550.0,1.0,3,3.92,25.44,56.19,141906.3328
1184.28,2.80794318,5,7.54,17.37,23.74,416279.762
879.16,3.371174749,4,6.62,5.6,59.29,425692.9945
1715.76,2.92128526,5,7.9,20.61,5.49,452777.9337
1036.36,2.280949558,4,4.37,7.29,9.21,455248.5557
1183.17,1.223493486,4,5.8,6.84,77.92,442287.2356
1472.5,1.0,3,6.6,40.14,22.44,332363.7699
1413.7,1.964024489,3,4.34,2.74,106.46,210775.7641
988.76,1.917077859,3,6.23,29.03,81.04,108935.8619
891.62,2.994777105,4,2.34,1.34,40.38,375795.8439
1002.61,1.827587908,2,3.92,22.91,45.71,151626.2655
1134.09,3.829966391,4,5.15,19.63,80.35,419301.784
1348.73,4.652153243,3,6.45,15.5,33.57,455997.1118
981.06,1.350855285,4,7.54,26.77,40.92,361101.5661
550.0,3.674042056,2,5.58,9.24,8.47,360383.6609
550.0,1.0,3,5.28,33.79,40.43,137458.5869
939.03,1.26769942,4,7.15,27.9,76.76,272776.072
550.0,2.481263984,4,4.55,28.11,79.61,246305.3703
1690.71,1.41937503,4,6.04,9.86,23.99,352999.1133
909.16,3.690257264,4,3.81,25.92,40.09,270014.2551
1274.02,2.058710274,4,8.08,18.42,10.14,305092.5135
1592.82,2.450304501,3,5.76,0.53,50.99,286637.342
550.0,2.836823214,2,2.66,20.45,36.54,252241.3202
1546.85,3.884335941,3,8.33,23.96,9.02,423935.6588
1145.69,1.856152547,4,10.0,20.07,85.09,526756.9959
550.0,1.0,2,1.96,19.95,15.19,161223.6344
550.0,1.406700187,1,4.52,15.83,57.06,240366.07
550.0,1.0,2,3.57,25.51,68.46,174263.9779
852.09,1.0,3,3.09,21.31,38.82,161429.4012
1017.91,3.672769735,2,2.69,1.42,51.09,271239.7578
1581.99,2.288002864,4,7.6,11.8,73.96,528857.2625
550.0,3.816994828,2,5.38,22.57,6.17,211071.0095
778.54,2.993726513,3,6.04,0.79,108.38,363985.391
1581.56,3.154247646,4,6.51,29.35,81.08,452987.9875
1740.34,2.080995385,4,8.31,9.19,60.25,716433.5331
550.0,1.0,3,4.92,35.89,53.97,100395.904
857.34,3.113162471,2,3.78,4.34,66.65,227750.252
1316.69,1.352970042,3,7.4,4.67,8.17,330865.3714
550.0,2.897126928,3,2.12,22.32,37.99,119365.209
550.0,1.510798584,4,4.38,43.68,22.87,339846.8397
897.47,1.479155571,3,2.04,9.88,48.85,149637.461
550.0,1.023159862,2,1.73,12.53,5.63,242450.3356
1529.31,3.16349836,3,3.75,11.26,51.03,483241.2513
660.82,3.759941146,5,6.18,23.43,2.58,352825.9544
669.41,1.993740111,3,4.82,2.08,56.62,263076.735
1844.34,3.38019233,3,4.68,7.37,54.25,416588.5502
781.61,3.635890444,3,4.78,25.57,58.94,279742.0998
1336.19,1.10374757,4,3.45,32.06,72.88,264441.7319
1789.2,3.685181653,5,5.85,17.44,29.52,527678.7966
1608.87,3.576349096,4,7.0,5.85,119.66,575483.7131
833.65,3.019856025,4,6.58,2.56,6.15,475596.2442
691.66,1.972219017,2,2.68,8.27,46.06,96863.68367
1244.67,1.0,3,3.56,3.92,159.26,173059.6361
1215.45,2.237449313,3,3.55,5.02,95.88,278658.9998
1346.49,1.694774126,3,5.9,12.38,23.66,533177.8282
769.22,2.062418033,3,2.5,18.98,75.27,268997.6092
752.32,2.453775853,2,3.81,11.85,16.69,208095.515
1434.98,1.0,3,3.99,23.04,39.91,272198.2958
550.0,1.0,2,1.7,2.86,55.85,153827.7845
625.26,1.0,2,0.93,16.4,58.65,138482.0027
1302.39,1.76070584,4,6.73,2.99,39.67,343053.3563
1620.23,1.444896408,4,4.59,1.77,64.65,558102.6445
1044.51,1.0,1,3.04,37.33,48.29,164336.9609
550.0,1.0,4,5.95,32.99,74.58,146971.1482
1507.02,1.885689482,1,6.75,5.19,3.15,185795.1425
1230.72,3.707905296,3,7.08,3.11,31.0,504297.1783
550.0,2.010068151,4,4.12,12.57,79.71,276584.3605
671.51,1.0,2,1.3,13.73,15.21,107538.0376
2721.32,2.161922667,4,7.45,3.2,42.43,763219.162
779.94,1.074969374,4,1.66,1.4,12.91,207249.2201
2015.84,1.897380991,5,5.52,17.19,68.99,369749.0723
1811.82,1.955092874,4,5.26,9.98,31.67,631312.376
1027.55,1.660534634,1,0.85,29.83,87.26,168729.8001
1542.55,1.487850444,4,5.22,3.32,41.62,423572.605
550.0,2.234588924,3,0.69,4.44,63.97,155828.5298
743.76,1.0,2,3.18,21.02,11.87,122312.5598
1770.71,2.938135255,3,5.35,14.28,7.51,333958.8451
550.0,2.768572443,1,4.08,7.59,72.1,100954.0932
725.74,1.0,3,5.18,3.28,42.88,234433.7794
996.16,2.213232111,2,2.83,12.22,27.83,196765.808
550.0,3.374620826,5,5.43,34.72,56.14,339842.077
550.0,1.0,3,2.57,10.06,22.15,138546.8422
1068.77,2.413596589,3,7.77,6.45,46.43,323022.2186
550.0,2.029604326,2,6.54,55.97,89.08,135864.9437
838.91,1.694128885,1,5.45,1.36,55.46,218446.7975
726.76,1.0,2,2.7,32.61,98.47,95474.22338
676.73,1.543180965,2,3.45,27.47,88.68,177565.4235
646.13,2.232483995,3,3.06,23.97,71.64,273348.2032
590.41,1.573737165,1,5.51,14.72,45.72,104435.5011
576.65,2.97330905,3,1.89,29.33,60.78,164491.9501
959.84,3.726870422,3,8.31,2.47,95.46,269142.4041
550.0,1.0,3,5.3,14.67,8.35,190240.4202
1772.98,1.670990353,3,3.9,7.52,57.86,304463.4501
550.0,1.825957696,1,1.07,32.09,92.67,168440.38
1565.14,1.663859034,4,8.1,10.23,45.14,594199.6817
1148.28,2.399158299,3,1.67,38.62,107.73,312887.1419
908.79,3.993829572,4,4.07,25.46,1.73,351885.5657
775.73,1.78444509,3,4.57,6.55,45.68,334002.7703
1377.07,1.859478982,4,5.3,27.2,11.84,518240.1413
1528.82,3.637801014,3,7.05,23.76,19.88,514357.4585
1930.0,3.760818872,3,5.86,10.63,18.87,596002.3773
765.63,2.463285663,3,6.23,20.33,61.86,401065.9409
773.57,1.934582682,5,7.39,24.91,33.66,590190.2551
550.0,3.11877006,4,6.84,29.38,31.22,346110.3843
2115.68,1.969607048,3,6.79,40.41,70.14,308473.0053
783.91,1.0,2,1.64,8.39,66.68,225040.9524
1670.63,1.52994186,2,5.58,3.86,3.01,351693.9419
918.67,1.220667899,4,5.6,3.58,5.19,285671.5703
846.7,2.884682959,1,4.46,39.44,10.97,144160.3422
1196.5,2.906671612,3,10.0,8.77,10.36,288038.3703
1487.0,3.288006066,3,9.47,40.79,14.55,287025.2124
1509.02,1.0,5,2.28,9.82,5.73,229519.262
1614.78,2.235174498,3,2.75,21.96,98.94,376453.156
579.63,2.712549139,1,2.5,37.85,52.48,164510.3087
550.0,1.678159447,2,2.33,35.87,45.73,123457.3985
694.2,1.0,4,3.25,4.68,35.72,307325.5166
550.0,1.686046962,3,4.98,24.4,31.11,136881.3897
1774.77,1.63161423,1,1.71,33.74,85.25,170832.8612
2579.34,2.498838979,2,5.91,7.87,1.43,625032.5031
587.82,1.210337512,3,4.85,15.81,35.71,324888.5534
645.31,3.831097406,4,6.64,5.85,26.36,465801.9712
1250.06,2.43829604,2,4.14,18.13,99.15,371325.8584
1456.13,1.0,2,3.6,18.58,17.64,264839.3572
550.0,1.502869262,2,5.93,21.23,107.8,192613.5071
550.0,1.0,4,2.22,11.91,32.3,210645.6183
1359.73,2.713605861,3,2.84,9.9,48.42,245031.3197
1636.47,3.531130631,3,3.74,7.49,59.31,596790.302
601.46,3.42639477,3,6.28,40.73,34.92,285644.6181
713.17,1.768622862,3,4.95,41.13,79.27,283290.1531
1368.13,1.0,3,6.82,14.21,61.85,352120.6362
1443.74,1.967673886,1,4.37,6.66,38.0,186449.6369
550.0,1.18907087,1,4.01,42.77,90.56,197471.5405
1159.89,1.270642072,2,2.76,3.98,54.88,191532.491
1572.85,1.702761258,4,5.65,22.43,4.47,358070.9608
2057.02,1.0,4,6.39,34.07,18.23,650641.7431
1591.28,1.0,4,7.04,5.44,0.99,323008.4069
679.42,1.324548657,2,5.3,28.79,44.3,138047.5627
932.28,1.129672446,4,6.89,7.04,125.96,332929.6403
1211.47,1.738602664,3,3.22,14.12,50.05,186999.0163
700.49,1.0,1,2.34,1.6,53.29,252073.0135
1183.0,2.195319416,4,7.36,22.02,3.09,449529.6374
828.63,3.500730797,3,7.06,36.29,58.92,277242.4891
944.48,3.730760978,3,7.88,6.72,6.06,501365.3676
757.67,1.694310441,3,7.54,3.26,27.95,248086.4852
1637.03,1.675800691,4,2.87,1.86,76.25,286857.3794
1635.13,1.769192434,3,6.96,16.55,8.43,419292.4776
1457.84,4.505308712,2,9.88,9.22,5.81,633611.6607
733.99,2.121210104,4,5.52,10.72,102.57,331588.7744
899.55,1.149822628,5,4.73,12.04,5.55,427537.2168
1300.92,2.424506922,2,5.63,5.97,21.26,476841.0151
915.54,3.231895691,4,6.11,13.75,3.98,562084.7515
660.98,2.849034116,3,6.45,10.79,113.54,337815.4161
1588.03,2.43644941,3,6.64,10.23,32.94,448231.5409
1524.55,1.174475552,3,6.16,23.95,26.92,245883.7511
1116.34,2.207854845,3,7.37,6.66,31.53,260675.9106
1291.36,1.619891429,4,7.81,19.36,47.06,383859.4941
1569.16,3.245686464,2,7.51,14.02,122.54,295544.7864
717.49,3.602810998,3,4.92,1.29,132.58,341137.3523
1295.75,3.986441599,1,7.2,36.37,57.03,426874.8922
1344.58,3.096885471,4,2.54,4.62,73.69,494547.4668
1022.97,1.432806576,3,6.03,29.88,48.29,402125.0531
550.0,2.23050204,2,0.11,4.52,38.97,103080.8523
885.62,1.226401221,3,4.28,28.99,32.29,181675.5726
796.53,1.0,4,6.62,39.29,33.72,215193.788
1597.52,1.351376168,4,3.72,18.18,96.78,442991.002
1572.82,1.556185085,4,7.06,12.41,59.58,703875.7556
1087.46,1.0,5,6.84,8.04,85.13,464838.8622
1010.97,1.908416341,4,6.72,19.53,4.23,403775.1233
1162.96,2.695222154,3,6.64,58.0,72.25,313587.0135
946.23,2.310242007,4,6.58,11.64,51.64,438073.2503
1052.01,1.08272871,4,3.44,19.87,22.58,177194.0105
550.0,2.172537703,2,4.28,15.76,11.03,123575.9347
1484.56,1.985704141,2,3.78,12.25,76.69,389326.1707
1016.53,2.37110005,3,9.62,17.14,10.09,359643.3157
550.0,1.021607608,2,2.12,3.25,84.97,98622.30842
678.77,1.595301277,5,3.06,15.71,18.94,298794.561
550.0,4.963092617,3,3.42,16.95,48.35,313766.7632
1002.01,1.940273697,4,1.75,5.38,60.79,216365.0686
1236.08,2.961977011,2,5.55,14.17,47.44,319313.7717
550.47,3.303065131,3,5.45,17.9,46.48,218689.6891
898.34,2.393838363,3,4.6,8.39,3.35,227283.5277
550.0,3.182509376,3,2.43,7.01,34.43,218798.9246
797.1,1.660443865,2,0.15,25.43,43.98,116389.6093
1286.95,1.0,3,5.71,8.62,83.38,273118.2426
695.79,1.470449622,2,4.57,29.83,119.71,119850.694
1956.12,3.46170632,4,5.55,19.65,119.21,620197.351
550.0,1.0,3,2.51,27.78,111.9,157001.7057
970.38,2.717602416,3,6.58,16.58,87.23,307601.6817
1505.34,3.019393022,2,3.99,10.4,44.81,286713.1975
1101.4,4.054415105,3,7.39,16.85,14.27,611786.1264
550.0,3.863504417,4,7.9,1.58,1.57,242334.6467
1528.68,1.0,3,3.23,18.1,27.43,315279.277
866.41,1.595163835,5,7.01,8.48,41.86,298222.3783
848.11,1.0,5,2.49,37.02,37.27,245220.0589
1227.08,1.215310662,3,6.81,2.67,26.32,329881.689
1798.99,1.508958267,2,2.83,2.53,14.89,422776.1832
550.0,3.142938042,4,3.1,24.44,119.98,328549.876
1013.83,1.0,3,3.24,19.95,49.53,134019.7898
550.0,2.83115968,3,4.73,6.57,32.93,233290.3505
947.5,1.106837259,3,5.87,17.98,0.39,186989.4931
966.05,1.796684976,3,2.9,40.41,7.85,144270.6511
1527.91,3.126106742,3,7.38,4.28,6.37,562266.5537
